node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario
Pr_I_LAC_52_side;Prot. Int. N1 Laces 52 side;merano;29,530;61,013;signal_mainline;0;0;0,01;634,26;10.85703579;46.61963325;dt_lac_cold
Pa_E_LAC_62_side;Part. Est. Laces 62 side;malles;30,010;61,493;signal_mainline;0;0;0,01;639,32;10.85080045;46.61922618;dt_lac_cold
PL19_side;PL19 side;;30,031;61,514;PL;0;0;0,01;639,54;10.85052809;46.61920454;dt_lac_cold
Pr_I_LAC_72_side;Prot. Int. N2 Laces 72 side;merano;30,055;61,538;signal_mainline;0;0;0,01;639,8;10.85021684;46.61917966;dt_lac_cold
Pr_E_LAC_02_side;Prot. Est. Laces 02 side;merano;30,160;61,643;signal_mainline;0;0;0,01;640,9;10.84885881;46.61905477;dt_lac_cold
SblLac31026_side;SblLac31026 side;;31,026;62,509;signal_mainline;0;0;0,01;650,04;10.8382375;46.61683719;dt_lac_cold
HD_501_02_side;HD 501/02 side;both;31,160;62,643;signal_mainline;0;0;0,01;651,46;10.83656212;46.61718385;dt_lac_cold
Pr_E_COLD_01_side;Prot. Est. Coldrano 01 side;malles;32,014;63,497;signal_mainline;0;0;0,01;660,47;10.82603801;46.61936363;dt_lac_cold
Pr_I_COLD_91_side;Prot. Int. Coldrano 91 side;malles;32,084;63,567;signal_mainline;0;0;0,01;661,21;10.8251252;46.61935336;dt_lac_cold
PL20_side;PL20 side;;32,110;63,593;PL;0;0;0,01;661,48;10.82478645;46.6193385;dt_lac_cold
Pa_COLD_31_side;Part. Coldrano 31 side;merano;32,136;63,619;signal_mainline;0;0;0,01;661,75;10.82444786;46.61932191;dt_lac_cold
Dev_COLD_01_side;Deviatoio Coldrano 01 side;;32,200;63,683;SC;0;0;0,01;662,12;10.823630;46.619219;dt_lac_cold
COLD_side;Coldrano side;;32,353;63,836;LdS_side;1;0;0,01;663;10.82167381;46.61897378;dt_lac_cold, dt_cold_sblLac
Pa_I_COLD_71_side;Part. Int. Coldrano 71 side;malles;32,873;64,356;signal_mainline;0;0;0,01;669,91;10.81521007;46.61771116;dt_cold_sblLac
PL21_side;PL21 side;;32,901;64,384;PL;0;0;0,01;670,37;10.81492621;46.61755247;dt_cold_sblLac
Pr_I_COLD_52_side;Prot. Int. N1 Coldrano 52 side;merano;32,931;64,414;signal_mainline;0;0;0,01;670,87;10.81462221;46.61738236;dt_cold_sblLac
Pa_E_COLD_51_side;Part. Est. Coldrano 51 side;malles;33,256;64,739;signal_mainline;0;0;0,01;676,23;10.81054606;46.61688873;dt_cold_sblLac
PL22_side;PL22 side;;33,279;64,762;PL;0;0;0,01;676,61;10.81024579;46.61688995;dt_cold_sblLac
Pr_I_COLD_72_side;Prot. Int. N2 Coldrano 72 side;merano;33,302;64,785;signal_mainline;0;0;0,01;676,98;10.80994553;46.61689121;dt_cold_sblLac
Pr_E_COLD_02_side;Prot. Est. Coldrano 02 side;merano;33,406;64,889;signal_mainline;0;0;0,01;678,7;10.80858912;46.61685617;dt_cold_sblLac
Pr_E_PL23_01_side;Prot. Est. PL23 01 side;malles;34,356;65,839;signal_mainline;0;0;0,01;694,37;10.79635559;46.61546881;dt_cold_sblLac
Pr_I_PL23_51_side;Prot. Int. PL23 51 side;malles;34,459;65,942;signal_mainline;0;0;0,01;696,06;10.79502585;46.61533124;dt_cold_sblLac
PL23_side;PL23 side;;34,483;65,966;PL;0;0;0,01;696,46;10.79471605;46.61529898;dt_cold_sblLac
Pr_I_PL23_52_side;Prot. Int. PL23 52 side;merano;34,507;65,990;signal_mainline;0;0;0,01;696,86;10.79440628;46.6152666;dt_cold_sblLac
Pr_E_PL23_02_side;Prot. Est. PL23 02 side;merano;34,609;66,092;signal_mainline;0;0;0,01;698,54;10.79308949;46.61513018;dt_cold_sblLac
SblLac35026_side;SblLac35026 side;;35,026;66,509;Sbl;0;0;0,01;705,42;10.78769972;46.61476402;dt_cold_sblLac, dt_sblLac_sil
Pr_E_PL24_01_side;Prot. Est. PL24 01 side;malles;35,040;66,523;signal_mainline;0;0;0,01;705,65;10.7875215;46.61479191;dt_cold_sblLac
Dev_PL24_01_side;Deviatoio PL24 01 side;both;35,094;66,577;SC;0;0;0,01;706,54;10.78683582;46.61489936;dt_sblLac_sil
Pr_I_PL24_51_side;Prot. Int. PL24 51 side;malles;35,144;66,627;signal_mainline;0;0;0,01;707,36;10.78620014;46.6150068;dt_sblLac_sil
PL24_side;PL24 side;;35,167;66,650;PL;0;0;0,01;707,74;10.78591014;46.6150603;dt_sblLac_sil
Pr_I_PL24_52_side;Prot. Int. PL24 52 side;merano;35,191;66,674;signal_mainline;0;0;0,01;708,14;10.78561008;46.61512227;dt_sblLac_sil
Pr_E_PL24_02_side;Prot. Est. PL24 02 side;merano;35,294;66,777;signal_mainline;0;0;0,01;709,83;10.78435527;46.61545449;dt_sblLac_sil
HD_504_02_side;HD 504/02 side;both;36,294;67,777;signal_mainline;0;0;0,01;726,33;10.77177173;46.61728287;dt_sblLac_sil
Pr_E_SIL_01_side;Prot. Est. Silandro 01 side;malles;36,827;68,310;signal_mainline;0;0;0,01;735,12;10.76605982;46.61975108;dt_sblLac_sil
PL25_side;PL25 side;;36,943;68,426;PL;0;0;0,01;737,03;10.76457504;46.61995058;dt_sblLac_sil
Pr_I_SIL_91_side;Prot. Int. N2 Silandro 91 side;malles;36,957;68,440;signal_mainline;0;0;0,01;737,26;10.76440589;46.61999822;dt_sblLac_sil
Pa_E_SIL_81_side;Part. Est. Silandro 81 side;merano;36,981;68,464;signal_mainline;0;0;0,01;737,66;10.76412539;46.62009355;dt_sblLac_sil
km68500_side;km68500 side;;37,017;68,500;km;0;0;0,01;738,25;10.7637436;46.62028153;dt_sblLac_sil
km68650_side;km68650 side;;37,167;68,650;km;0;0;0,01;740,72;10.76285177;46.62144628;dt_sblLac_sil
IG_GEO_side;Imbocco Galleria GEOS side;;37,379;68,862;Tunnel;0;0;0,01;744,22;10.76381322;46.62317517;dt_sblLac_sil
Pr_I_SIL_71_side;Prot. Int. N1 Silandro 71 side;malles;37,473;68,956;signal_mainline;0;0;0,01;744,73;10.76452093;46.62386603;dt_sblLac_sil
