edge_id;node_from;node_to;max_speed_dir_malles;max_speed_dir_merano;length;gradient;scenario;edge_type
Pr_I_CAB_51-PL17;Pr_I_CAB_51;PL17;65;65;0,025;0;base;straight
PL17-Pa_I_CAB_31;PL17;Pa_I_CAB_31;65;65;0,025;0;base;straight
Pa_I_CAB_31-CAB;Pa_I_CAB_31;CAB;65;65;0,021;0;base;straight
CAB-Pa_CAB_32;CAB;Pa_CAB_32;65;65;0,129;3,88;base;straight
Pa_CAB_32-Pr_E_CAB_02;Pa_CAB_32;Pr_E_CAB_02;65;65;0,15;17,13;base;straight
Pr_E_CAB_02-HD_405_02;Pr_E_CAB_02;HD_405_02;65;65;1,082;17,18;base;straight
HD_405_02-km60000;HD_405_02;km60000;65;65;1,023;17,17;base;straight
km60000-Pr_E_LAC_01;km60000;Pr_E_LAC_01;70;70;0,141;17,16;base;straight
Pr_E_LAC_01-PL18;Pr_E_LAC_01;PL18;70;70;0,124;17,18;base;straight
PL18-Pr_I_LAC_71;PL18;Pr_I_LAC_71;70;70;0,002;20;base;straight
Pr_I_LAC_71-Pa_E_LAC_61;Pr_I_LAC_71;Pa_E_LAC_61;70;70;0,024;17,08;base;straight
Pa_E_LAC_61-Pr_I_LAC_51;Pa_E_LAC_61;Pr_I_LAC_51;70;70;0,225;7,87;base;straight
Pr_I_LAC_51-Dev_LAC_01;Pr_I_LAC_51;Dev_LAC_01;70;70;0,05;0;base;straight
Dev_LAC_01-Pa_I_LAC_31;Dev_LAC_01;Pa_I_LAC_31;70;70;0,118;0;base;straight
Pa_I_LAC_31-LAC;Pa_I_LAC_31;LAC;70;70;0,06;0;base;straight
LAC-Pa_I_LAC_32;LAC;Pa_I_LAC_32;70;70;0,103;0;base;straight
Pa_I_LAC_32-Dev_LAC_02;Pa_I_LAC_32;Dev_LAC_02;70;70;0,116;6,29;base;straight
Dev_LAC_02-Pr_I_LAC_52;Dev_LAC_02;Pr_I_LAC_52;70;70;0,05;10,6;base;straight
Pr_I_LAC_52-Pa_E_LAC_62;Pr_I_LAC_52;Pa_E_LAC_62;70;70;0,48;10,54;base;straight
Pa_E_LAC_62-PL19;Pa_E_LAC_62;PL19;70;70;0,021;10,48;base;straight
PL19-Pr_I_LAC_72;PL19;Pr_I_LAC_72;70;70;0,024;10,83;base;straight
Pr_I_LAC_72-Pr_E_LAC_02;Pr_I_LAC_72;Pr_E_LAC_02;70;70;0,105;10,48;base;straight
Pr_E_LAC_02-SblLac31026;Pr_E_LAC_02;SblLac31026;70;70;0,866;10,55;base;straight
SblLac31026-HD_501_02;SblLac31026;HD_501_02;70;70;0,134;10,6;base;straight
HD_501_02-Pr_E_COLD_01;HD_501_02;Pr_E_COLD_01;70;70;0,854;10,55;base;straight
Pr_E_COLD_01-Pr_I_COLD_91;Pr_E_COLD_01;Pr_I_COLD_91;70;70;0,07;10,57;base;straight
Pr_I_COLD_91-PL20;Pr_I_COLD_91;PL20;70;70;0,026;10,38;base;straight
PL20-Pa_COLD_31;PL20;Pa_COLD_31;70;70;0,026;10,38;base;straight
Pa_COLD_31-Dev_COLD_01;Pa_COLD_31;Dev_COLD_01;70;70;0,064;5,76;base;straight
Dev_COLD_01-COLD;Dev_COLD_01;COLD;70;70;0,153;5,76;base;straight
COLD-Pa_I_COLD_71;COLD;Pa_I_COLD_71;70;70;0,52;13,29;base;straight
Pa_I_COLD_71-PL21;Pa_I_COLD_71;PL21;70;70;0,028;16,43;base;straight
PL21-Pr_I_COLD_52;PL21;Pr_I_COLD_52;70;70;0,03;16,67;base;straight
Pr_I_COLD_52-Pa_E_COLD_51;Pr_I_COLD_52;Pa_E_COLD_51;70;70;0,325;16,49;base;straight
Pa_E_COLD_51-PL22;Pa_E_COLD_51;PL22;70;70;0,023;16,52;base;straight
PL22-Pr_I_COLD_72;PL22;Pr_I_COLD_72;70;70;0,023;16,09;base;straight
Pr_I_COLD_72-Pr_E_COLD_02;Pr_I_COLD_72;Pr_E_COLD_02;70;70;0,104;16,54;base;straight
Pr_E_COLD_02-Pr_E_PL23_01;Pr_E_COLD_02;Pr_E_PL23_01;70;70;0,95;16,49;base;straight
Pr_E_PL23_01-Pr_I_PL23_51;Pr_E_PL23_01;Pr_I_PL23_51;70;70;0,103;16,41;base;straight
Pr_I_PL23_51-PL23;Pr_I_PL23_51;PL23;70;70;0,024;16,67;base;straight
PL23-Pr_I_PL23_52;PL23;Pr_I_PL23_52;70;70;0,024;16,67;base;straight
Pr_I_PL23_52-Pr_E_PL23_02;Pr_I_PL23_52;Pr_E_PL23_02;70;70;0,102;16,47;base;straight
Pr_E_PL23_02-SblLac35026;Pr_E_PL23_02;SblLac35026;70;70;0,417;16,5;base;straight
SblLac35026-Pr_E_PL24_01;SblLac35026;Pr_E_PL24_01;70;70;0,014;16,43;base;straight
Pr_E_PL24_01-Dev_PL24_01;Pr_E_PL24_01;Dev_PL24_01;70;70;0,054;16,44;base;straight
Dev_PL24_01-Pr_I_PL24_51;Dev_PL24_01;Pr_I_PL24_51;70;70;0,05;16,44;base;straight
