node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude
km55900;km55900;;24,417;55,9;km;0;0;0;574,28
SblStab24529;SblStab24529;;24,529;56,012;Sbl;0;0;0;575,16
Pr_E_PL15_01;Prot. Est. PL15 01;malles;24,625;56,108;signal_mainline;0;0;0;575,92
Pr_I_PL15_51;Prot. Int. PL15 51;malles;24,729;56,212;signal_mainline;0;0;0;576,74
PL15;PL15;;24,752;56,235;PL;0;0;0;576,92
Pr_I_PL15_52;Prot. Int. PL15 52;merano;24,775;56,258;signal_mainline;0;0;0;577,1
Pr_E_PL15_02;Prot. Est. PL15 02;merano;24,879;56,362;signal_mainline;0;0;0;577,92
km57000;km57000;;25,517;57;km;0;0;0;582,94
Pr_E_CAB_01;Prot. Est. Castelbello 01;malles;25,869;57,352;signal_mainline;0;0;0;585,71
Pr_I_CAB_71;Prot. Int. N2 Castelbello 71;malles;25,968;57,451;signal_mainline;0;0;0;586,49
PL16;PL16;;25,995;57,478;PL;0;0;0;586,7
Pa_E_CAB_61;Part. Est. Castelbello 61;merano;26,019;57,502;signal_mainline;0;0;0;586,89
Pr_I_CAB_51;Prot. Int. N1 Castelbello 51;malles;26,062;57,545;signal_mainline;0;0;0;587
PL17;PL17;;26,087;57,57;PL;0;0;0;587
Pa_I_CAB_31;Part. Int. Castelbello 31;merano;26,112;57,595;signal_mainline;0;0;0;587
CAS;Castelbello;;26,133;57,616;signal_mainline;1;0;0;587
Pa_CAB_32;Part. Castelbello 32;malles;26,262;57,745;signal_mainline;0;0;0;587,5
Pr_E_CAB_02;Prot. Est. Castelbello 02;merano;26,412;57,895;signal_mainline;0;0;0;590,07
HD_405_02;HD 405/02;both;27,494;58,977;signal_mainline;0;0;0;608,66
km60000;km60000;;28,517;60;km;0;0;0;626,23
Pr_E_LAC_01;Prot. Est. Laces 01;malles;28,658;60,141;signal_mainline;0;0;0;628,65
PL18;PL18;;28,782;60,265;PL;0;0;0;630,78
Pr_I_LAC_71;Prot. Int. N2 Laces 71;malles;28,784;60,267;signal_mainline;0;0;0;630,82
Pa_E_LAC_61;Part. Est. Laces 61;merano;28,808;60,291;signal_mainline;0;0;0;631,23
Pr_I_LAC_51;Prot. Int. N1 Laces 51;malles;29,033;60,516;signal_mainline;0;0;0;633
Dev_LAC_01;Deviatoio Laces 01;both;29,083;60,566;SC;0;0;0;633
Pa_I_LAC_41;Part. Int. Laces 41;merano;29,201;60,684;signal_side;0;0;0,01;633
Pa_I_LAC_31;Part. Int. Laces 31;merano;29,201;60,684;signal_mainline;0;0;0;633
LAC;Laces;;29,261;60,744;LdS;1;1;0;633
Pa_I_LAC_42;Part. Int. Laces 42;malles;29,364;60,847;signal_side;0;0;0,01;633
Pa_I_LAC_32;Part. Int. Laces 32;malles;29,364;60,847;signal_mainline;0;0;0;633
Dev_LAC_02;Deviatoio Laces 02;both;29,48;60,963;SC;0;0;0;633,73
Pr_I_LAC_52;Prot. Int. N1 Laces 52;merano;29,53;61,013;signal_mainline;0;0;0;634,26
Pa_E_LAC_62;Part. Est. Laces 62;malles;30,01;61,493;signal_mainline;0;0;0;639,32
PL19;PL19;;30,031;61,514;PL;0;0;0;639,54
Pr_I_LAC_72;Prot. Int. N2 Laces 72;merano;30,055;61,538;signal_mainline;0;0;0;639,8
Pr_E_LAC_02;Prot. Est. Laces 02;merano;30,16;61,643;signal_mainline;0;0;0;640,9
SblLac31026;SblLac31026;;31,026;62,509;Sbl;0;0;0;650,04
HD_501_02;HD 501/02;both;31,16;62,643;signal_mainline;0;0;0;651,46
Pr_E_COLD_01;Prot. Est. Coldrano 01;malles;32,014;63,497;signal_mainline;0;0;0;660,47
Pr_I_COLD_91;Prot. Int. Coldrano 91;malles;32,084;63,567;signal_mainline;0;0;0;661,21
PL20;PL20;;32,11;63,593;PL;0;0;0;661,48
Pa_COLD_31;Part. Coldrano 31;merano;32,136;63,619;signal_mainline;0;0;0;661,75
COLD;Coldrano;;32,353;63,836;LdS;1;0;0;663
Pa_I_COLD_71;Part. Int. Coldrano 71;malles;32,873;64,356;signal_mainline;0;0;0;669,91
PL21;PL21;;32,901;64,384;PL;0;0;0;670,37
Pr_I_COLD_52;Prot. Int. N1 Coldrano 52;merano;32,931;64,414;signal_mainline;0;0;0;670,87
Pa_E_COLD_51;Part. Est. Coldrano 51;malles;33,256;64,739;signal_mainline;0;0;0;676,23
PL22;PL22;;33,279;64,762;PL;0;0;0;676,61
Pr_I_COLD_72;Prot. Int. N2 Coldrano 72;merano;33,302;64,785;signal_mainline;0;0;0;676,98
Pr_E_COLD_02;Prot. Est. Coldrano 02;merano;33,406;64,889;signal_mainline;0;0;0;678,7
Pr_E_PL23_01;Prot. Est. PL23 01;malles;34,356;65,839;signal_mainline;0;0;0;694,37
Pr_I_PL23_51;Prot. Int. PL23 51;malles;34,459;65,942;signal_mainline;0;0;0;696,06
PL23;PL23;;34,483;65,966;PL;0;0;0;696,46
Pr_I_PL23_52;Prot. Int. PL23 52;merano;34,507;65,99;signal_mainline;0;0;0;696,86
Pr_E_PL23_02;Prot. Est. PL23 02;merano;34,609;66,092;signal_mainline;0;0;0;698,54
SblLac35026;SblLac35026;;35,026;66,509;Sbl;0;0;0;705,42
Pr_E_PL24_01;Prot. Est. PL24 01;malles;35,04;66,523;signal_mainline;0;0;0;705,65
Pr_I_PL24_51;Prot. Int. PL24 51;malles;35,144;66,627;signal_mainline;0;0;0;707,36
PL24;PL24;;35,167;66,65;PL;0;0;0;707,74
Pr_I_PL24_52;Prot. Int. PL24 52;merano;35,191;66,674;signal_mainline;0;0;0;708,14
Pr_E_PL24_02;Prot. Est. PL24 02;merano;35,294;66,777;signal_mainline;0;0;0;709,83
HD_504_02;HD 504/02;both;36,294;67,777;signal_mainline;0;0;0;726,33
Pr_E_SIL_01;Prot. Est. Silandro 01;malles;36,827;68,31;signal_mainline;0;0;0;735,12
PL25;PL25;;36,943;68,426;PL;0;0;0;737,03
Pr_I_SIL_91;Prot. Int. N2 Silandro 91;malles;36,957;68,44;signal_mainline;0;0;0;737,26
Pa_E_SIL_81;Part. Est. Silandro 81;merano;36,981;68,464;signal_mainline;0;0;0;737,66
km68500;km68500;;37,017;68,5;km;0;0;0;738,25
km68650;km68650;;37,167;68,65;km;0;0;0;740,72
IG_GEO;Imbocco Galleria GEOS;;37,379;68,862;Tunnel;0;0;0;744,22
Pr_I_SIL_71;Prot. Int. N1 Silandro 71;malles;37,473;68,956;signal_mainline;0;0;0;744,73
SG_GEO;Sbocco Galleria GEOS;;37,521;69,004;Tunnel;0;0;0;744,92
Dev_SIL_05;Deviatoio Silandro 05;both;37,572;69,055;SC;0;0;0;745
Pa_I_SIL_41;Part. Int. Silandro 41;merano;37,667;69,15;signal_side;0;0;0,01;745
Pa_I_SIL_31;Part. Int Silandro 31;merano;37,682;69,165;signal_mainline;0;0;0;745
SIL;Silandro;;37,792;69,275;LdS;1;1;0;745
Pa_I_SIL_42;Part. Int. Silandro 42;malles;37,83;69,313;signal_side;0;0;0,01;745
Pa_I_SIL_32;Part. Int. Silandro 32;malles;37,86;69,343;signal_mainline;0;0;0;745
Dev_SIL_02;Deviatoio Silandro 02;both;37,939;69,422;SC;0;0;0;745
Pr_I_SIL_52;Prot. Int. Silandro 52;merano;37,989;69,472;signal_mainline;0;0;0;745
Pa_E_SIL_62;Part. Est. Silandro 62;malles;38,129;69,612;signal_mainline;0;0;0;747,34
Pr_E_SIL_02;Prot. Est. Silandro 02;merano;38,279;69,762;signal_mainline;0;0;0;751,38
km70200;km70200;;38,717;70,2;km;0;0;0;763,18
HD_601_02;HD 601/02;both;39,279;70,762;signal_mainline;0;0;0;778,31
HD_601_04;HD 601/04;both;40,279;71,762;signal_mainline;0;0;0;805,24
HD_601_06;HD 601/06;both;41,279;72,762;signal_mainline;0;0;0;832,17
HD_601_08;HD 601/08;both;42,279;73,762;signal_mainline;0;0;0;859,1
HD_601_10;HD 601/10;both;43,279;74,762;signal_mainline;0;0;0;865,71
km75800;km75800;;44,317;75,8;km;0;0;0;866,64
Pr_E_LASA_01;Prot. Est. Lasa 01;malles;44,387;75,87;signal_mainline;0;0;0;866,71
Pr_I_LASA_91;Prot. Int. N3 Lasa 91;malles;44,488;75,971;signal_mainline;0;0;0;866,8
PL27;PL27;;44,513;75,996;PL;0;0;0;866,82
Pa_E_LASA_81;Part. Est. Lasa 81;merano;44,538;76,021;signal_mainline;0;0;0;866,84
Pr_I_LASA_71;Prot. Int. N2 Lasa 71;malles;44,724;76,207;signal_mainline;0;0;0;867
PL28;PL28;;44,752;76,235;PL;0;0;0;867
Pa_I_LASA_61;Part. Int. N1 Lasa 61;merano;44,775;76,258;signal_mainline;0;0;0;867
Pr_I_LASA_51;Prot. Int. N1 Lasa 51;malles;44,809;76,292;signal_mainline;0;0;0;867
Dev_LASA_01;Deviatoio Lasa 01;both;44,829;76,312;SC;0;0;0;867
Pa_I_LASA_41;Part. Int. Lasa 41;merano;44,915;76,398;signal_side;0;0;-0,01;867
Pa_I_LASA_31;Part. Int. N1 Lasa 31;merano;44,945;76,428;signal_mainline;0;0;0;867
LASA;Lasa;;44,962;76,445;LdS;1;1;0;867
Pa_I_LASA_42;Part. Int. Lasa 42;malles;45,072;76,555;signal_side;0;0;-0,01;867
Pa_I_LASA_32;Part. Int. N2 Lasa 32;malles;45,102;76,585;signal_mainline;0;0;0;867
Dev_LASA_02;Deviatoio Lasa 02;both;45,188;76,671;SC;0;0;0;867
Pr_I_LASA_52;Prot. Int. N1 Lasa 52;merano;45,238;76,721;signal_mainline;0;0;0;867,06
Pa_I_LASA_62;Part. Int. N1 Lasa 62;malles;45,309;76,792;signal_mainline;0;0;0;867,21
PL29;PL29;;45,335;76,818;PL;0;0;0;867,27
Pr_I_LASA_72;Prot. Int. N2 Lasa 72;merano;45,382;76,865;signal_mainline;0;0;0;867,37
Pa_E_LASA_82;Part. Est. Lasa 82;malles;45,499;76,982;signal_mainline;0;0;0;867,62
Pr_E_LASA_02;Prot. Est. Lasa 02;merano;45,65;77,133;signal_mainline;0;0;0;867,94
